no,country,category_prefix,company_en,phone,contact_note
145,Mexico,2,M&S Media Mexico,+52 55 27734309,2_墨西哥_M&S Media Mexico
385,Colombia,2,Alquiler Pantallas LED Colombia,+57 310 4191949,2_哥伦比亚_Alquiler Pantallas LED Colombia
490,Colombia,1,ZULED Soluciones,+57 310 385 0334,1_哥伦比亚_ZULED Soluciones
492,Colombia,1,Ciberlight,+57 300 273 1069,1_哥伦比亚_Ciberlight
493,Colombia,2,Nueva Era Producciones,+57 301 653 6586,2_哥伦比亚_Nueva Era Producciones
494,Colombia,1,Vision LED Colombia,+57 310 492 3133,1_哥伦比亚_Vision LED Colombia
495,Colombia,1,Visual LED Oficial,+57 310 873 1503,1_哥伦比亚_Visual LED Oficial
496,Colombia,1,EduLED Barranquilla,+57 317 893 5709,1_哥伦比亚_EduLED Barranquilla
497,Colombia,2,Target Colombia,+57 318 707 1440,2_哥伦比亚_Target Colombia
498,Colombia,1,China LED SAS,+57 313 831 6469,1_哥伦比亚_China LED SAS
499,Colombia,2,OPE Producciones,+57 310 814 1832,2_哥伦比亚_OPE Producciones
501,Peru,2,ELES Producciones,+51 997 473 896,2_秘鲁_ELES Producciones
502,Peru,2,JSA Rental,+51 966 123 897,2_秘鲁_JSA Rental
503,Peru,1,INNOVALED Peru,+51 986 534 469,1_秘鲁_INNOVALED Peru
504,Peru,1,Screen LED Arequipa,+51 953 768 474,1_秘鲁_Screen LED Arequipa
505,Peru,2,Pantallas LED Alquiler y Venta Peru,+51 997 059 555,2_秘鲁_Pantallas LED Alquiler y Venta Peru
506,Peru,1,SMLED Peru,+51 945 066 315,1_秘鲁_SMLED Peru
507,Peru,1,Corporacion Cervantes,+51 997 547 440,1_秘鲁_Corporacion Cervantes
508,Peru,1,Digital Signage Peru,+51 968 202 774,1_秘鲁_Digital Signage Peru
520,Mexico,2,Renta Pantalla LED MTY,+52 81 1616 5994,2_墨西哥_Renta Pantalla LED MTY
521,Mexico,2,Proyector MTY,+52 81 1805 1719,2_墨西哥_Proyector MTY
522,Mexico,2,Audiovisuales Kanek,+52 33 3440 1490,2_墨西哥_Audiovisuales Kanek
523,Mexico,2,WLK Producciones,+52 55 4615 2641,2_墨西哥_WLK Producciones
524,Mexico,2,Kzas Audiovisual,+52 664 508 5791,2_墨西哥_Kzas Audiovisual
527,Brazil,2,Manaus Midia LED,+55 92 99185-4822,2_巴西_Manaus Midia LED
528,Brazil,2,The Voice Paineis de LED Manaus,+55 92 98419-4574,2_巴西_The Voice Paineis de LED Manaus
530,Brazil,2,Led Show Belem,+55 91 99257-2166,2_巴西_Led Show Belem
531,Colombia,1,DesignLab LED Barranquilla,+57 318 3627856,1_哥伦比亚_DesignLab LED Barranquilla
532,Colombia,2,Rental Eventos Colombia,+57 300 8374285,2_哥伦比亚_Rental Eventos Colombia
533,Colombia,1,Visual Pantallas LED Bucaramanga,+57 315 7989884,1_哥伦比亚_Visual Pantallas LED Bucaramanga
535,Colombia,1,Vision Prime Colombia,+57 310 2595817,1_哥伦比亚_Vision Prime Colombia
536,Peru,2,RedMediaLive Peru,+51 992 429776,2_秘鲁_RedMediaLive Peru
